Episode,Reward,Num_Actions
60895,-5.19999999999996,19
60896,-13.399999999999963,22
60897,21.40000000000002,15
60898,-255.00000000000023,50
60899,-270.0000000000002,50
60900,-44.79999999999998,28
60901,-285.0000000000002,50
60902,50.400000000000006,10
60903,11.800000000000026,17
60904,-285.0000000000003,50
60905,33.60000000000001,13
60906,-265.0000000000002,50
60907,-275.0000000000002,50
60908,-270.0000000000002,50
60909,-275.0000000000002,50
60910,-290.0000000000003,50
60911,-152.4000000000002,46
60912,-166.8000000000002,49
60913,-275.0000000000002,50
60914,-280.0000000000002,50
60915,-21.99999999999997,23
60916,-72.60000000000004,32
60917,-36.39999999999998,26
60918,60.0,8
60919,-275.0000000000002,50
60920,-275.0000000000002,50
60921,-285.0000000000003,50
60922,-280.0000000000002,50
60923,60.0,8
60924,-290.0000000000003,50
60925,-275.0000000000002,50
60926,-280.0000000000002,50
60927,-290.0000000000003,50
60928,-285.0000000000002,50
60929,-285.0000000000002,50
60930,-7.599999999999966,20
60931,-17.19999999999996,22
60932,55.2,9
60933,-265.0000000000002,50
60934,-280.0000000000002,50
60935,-157.40000000000018,46
60936,-280.0000000000002,50
60937,22.800000000000015,16
60938,-275.0000000000002,50
60939,-265.0000000000002,50
60940,-265.0000000000002,50
60941,-280.0000000000003,50
60942,-21.79999999999997,24
60943,-255.00000000000026,50
60944,-285.0000000000002,50
60945,-295.0000000000003,50
60946,-69.60000000000005,35
60947,55.2,9
60948,-270.0000000000002,50
60949,-280.0000000000002,50
60950,57.60000000000001,8
60951,-75.20000000000005,32
60952,-280.0000000000003,50
60953,31.200000000000017,14
60954,-290.0000000000002,50
60955,-98.80000000000013,39
60956,50.6,11
60957,-275.0000000000002,50
60958,-275.0000000000002,50
60959,-108.60000000000014,40
60960,84.19999999999999,4
60961,56.400000000000006,9
60962,-280.0000000000002,50
60963,36.20000000000001,14
60964,-46.19999999999999,27
60965,-137.6000000000002,45
60966,-285.0000000000002,50
60967,-280.0000000000002,50
60968,-275.0000000000002,50
60969,-83.40000000000006,35
60970,-41.19999999999999,27
60971,-19.59999999999995,22
60972,-300.0000000000003,50
60973,-275.0000000000002,50
60974,-12.19999999999996,22
60975,-290.0000000000002,50
60976,-285.0000000000002,50
60977,-62.0,29
60978,-21.799999999999955,24
60979,-285.0000000000002,50
60980,-280.0000000000003,50
60981,31.200000000000017,14
60982,33.40000000000002,12
60983,-94.8000000000001,34
60984,-280.0000000000002,50
60985,-295.0000000000003,50
60986,16.60000000000001,16
60987,16.600000000000023,16
60988,57.60000000000001,8
60989,-37.799999999999955,25
60990,-285.0000000000002,50
60991,55.2,9
60992,-162.40000000000023,46
60993,69.8,7
60994,64.79999999999998,7
60995,-295.0000000000003,50
60996,69.8,7
60997,-285.0000000000003,50
60998,65.0,8
60999,-275.0000000000002,50
61000,-280.0000000000002,50
61001,-275.0000000000002,50
61002,-270.0000000000002,50
61003,-260.0000000000002,50
61004,33.60000000000001,13
61005,-285.0000000000002,50
61006,55.4,10
61007,-280.0000000000003,50
61008,55.4,10
61009,-280.0000000000002,50
61010,69.8,7
61011,55.4,10
61012,-295.0000000000003,50
61013,-275.0000000000002,50
61014,-285.0000000000003,50
61015,84.19999999999999,4
61016,55.4,10
61017,48.00000000000001,10
61018,65.0,8
61019,43.0,10
61020,-104.00000000000011,38
61021,-275.0000000000002,50
61022,-285.0000000000003,50
61023,69.8,7
61024,-275.0000000000002,50
61025,-275.0000000000002,50
61026,31.200000000000003,14
